id_tov,Наименование,Категория,Группа,Кол-во чеков за месяц,Единица измерения,Кол-во за месяц,Среднее кол-во за месяц,Сумма продаж за месяц
489,Голень цыпленка-бройлера,Мясо. Птица. П/ф охл. Яйца,"Курица тушка, разделка",597,кг,567.33,0.95,207515.31
14 526,"Сметана 15%, 250 г",Молочная Продукция,Сметана,2189,шт,2307.00,1.05,205844.4
67 837,"Борщ с говядиной, 1 кг",Кулинария,Семейный формат супы,430,шт,448.00,1.04,197056
62 809,"Фарш из говядины ""по стандарту ВкусВилл"", 360 г",Мясо. Птица. П/ф охл. Яйца,Фарш мясо,559,шт,655.00,1.17,195944.6
29 906,Торт блинный шоколадный,"Торты, пирожные, десерты",Торты,313,шт,318.00,1.02,195662
35 099,"Борщ ""Украинский"" с курицей, 1 кг",Кулинария,Семейный формат супы,426,шт,467.00,1.10,195393.44
38 127,"Ветчина куриная ""Нежная""",Мясные деликатесы. Колбасы,Колбаса вареная. Ветчина,541,кг,241.25,0.45,195007.47
173,"Молоко 3,2%, 1 л",Молочная Продукция,Молоко пастеризованное,1744,шт,2478.00,1.42,188420.64
53 831,"Молоко безлактозное ультрапастеризованное 1,5%, 970 мл",Молочная Продукция,Молоко ультрапастеризованное,977,шт,1328.00,1.36,186727.19
50 717,"Сочник с творогом, 2 шт","Торты, пирожные, десерты","Маффины, кексы",897,шт,1114.00,1.24,184293.54
17 736,"Молоко цельное в бутылке, 900 мл",Молочная Продукция,Молоко пастеризованное,1472,шт,2001.00,1.36,183646.55
20 542,"Сэндвич ролл ""Цезарь""",Кулинария,Сэндвич ролл,877,шт,1005.00,1.15,178061.32
15 378,Томаты розовые,Овощи. Фрукты. Грибы. Зелень,Томаты,1107,кг,690.42,0.62,177589.64
43 242,"Блины с мясом, 7 шт",Кулинария,Семейный формат завтраки,426,шт,452.00,1.06,176033.72
599,Яйцо куриное от кур свободного выгула (С1),Мясо. Птица. П/ф охл. Яйца,Яйца,820,упак,930.00,1.13,173727
42 530,Борщ с говядиной,Кулинария,Супы,822,шт,932.00,1.13,172458.38
76 795,"Биточки из курицы и капусты, 480 г",Кулинария,Семейный формат вторые блюда,400,шт,422.00,1.06,170706.55
1 681,Цыпленок табака,Мясо. Птица. П/ф охл. Яйца,Маринадные из курицы,258,кг,408.52,1.58,170553.96
14 684,"Вода природная, 6 л",Напитки,Вода,935,шт,1334.00,1.43,170325.83
18 933,"Икра горбуши зернистая ст/б охл., 140 г",Рыба. Морепродукты,Икра,128,шт,126.00,0.98,168426.07
